,review_10,review_9or10,review_scores_value,superhost,host_days,host_days,response_rate,host_listings_count,host_verifications,host_pic,id_verified,neighbourhood_cleansed,borough,property_type,room_type,accommodates,bathrooms,bedrooms,beds,real_bed,amenities,price,sec_dep,cleaning_fee,extra_people,guests_included,minimum_nights,maximum_nights,number_of_reviews,instant_bookable,business_travel_ready,cancellation_policy,lat,lon,galleries,rats
72,1,1,10,0,2658.0,2658.0,90,1.0,9,1,1,Brooklyn Heights,Brooklyn,Apartment,Private room,2,1.0,1.0,1.0,1,17,98,0.0,39.0,0,1,4,1124,8,0,0,moderate,40.69093,-73.9929,12,3870
73,1,1,10,1,1724.0,1724.0,100,2.0,8,1,0,Ridgewood,Queens,Apartment,Private room,2,2.0,1.0,1.0,1,15,41,0.0,15.0,15,1,1,1125,22,1,0,moderate,40.70356,-73.91131,1,10885
74,1,1,10,0,2918.0,2918.0,100,1.0,5,1,1,Lower East Side,Manhattan,Apartment,Entire home/apt,2,1.0,1.0,1.0,1,24,300,0.0,100.0,0,1,2,1125,42,0,0,strict_14_with_grace_period,40.71902,-73.99027,20,11023
75,1,1,10,0,836.0,836.0,100,3.0,8,1,0,Bedford-Stuyvesant,Brooklyn,Condominium,Private room,2,1.0,1.0,1.0,1,23,60,0.0,30.0,20,1,1,5,23,0,0,moderate,40.69342,-73.95877,2,8703
76,0,1,9,0,927.0,927.0,98,28.0,8,1,1,Upper West Side,Manhattan,Apartment,Entire home/apt,7,2.0,2.0,2.0,1,40,275,0.0,200.0,0,1,30,1124,24,1,0,strict_14_with_grace_period,40.7744,-73.9874,9,2761
77,0,1,9,0,2010.0,2010.0,100,1.0,8,1,0,East Harlem,Manhattan,Apartment,Entire home/apt,2,1.0,1.0,1.0,1,21,120,0.0,40.0,0,1,1,3,73,1,0,flexible,40.78998,-73.946,3,9588
78,1,1,10,1,2531.0,2531.0,100,1.0,9,1,0,Lower East Side,Manhattan,Apartment,Entire home/apt,2,1.0,1.0,1.0,1,25,150,0.0,30.0,0,1,3,8,34,0,0,moderate,40.72153,-73.98765,20,11023
79,0,1,9,0,962.0,962.0,100,6.0,5,1,0,Hell's Kitchen,Manhattan,Apartment,Private room,2,1.0,1.0,1.0,1,28,140,0.0,85.0,0,1,2,1125,137,1,0,strict_14_with_grace_period,40.76121,-73.99053,4,2527
80,0,1,9,0,1353.0,1353.0,99,159.0,5,1,1,Midtown,Manhattan,Aparthotel,Hotel room,2,1.0,0.0,1.0,1,42,252,100.0,99.0,0,1,2,1125,3,1,0,strict_14_with_grace_period,40.753,-73.97364,8,332
81,0,1,9,0,1589.0,1589.0,91,7.0,6,1,1,Hell's Kitchen,Manhattan,Apartment,Entire home/apt,6,2.0,3.0,4.0,1,47,799,500.0,249.0,50,5,5,150,3,1,0,strict_14_with_grace_period,40.75863,-73.99376,4,2527
82,0,1,9,0,2175.0,2175.0,100,2.0,7,1,1,Greenpoint,Brooklyn,Apartment,Entire home/apt,5,1.0,1.0,3.0,1,33,195,300.0,70.0,50,4,2,29,71,0,0,strict_14_with_grace_period,40.7324,-73.95091,4,3727
83,0,1,9,0,2374.0,2374.0,100,2.0,5,1,1,Williamsburg,Brooklyn,Apartment,Private room,1,1.0,1.0,1.0,1,14,60,300.0,60.0,5,1,6,30,3,0,0,moderate,40.70739,-73.94726,1,16550
84,0,1,9,0,3597.0,3597.0,100,1.0,6,1,1,Chinatown,Manhattan,Loft,Entire home/apt,2,1.0,1.0,1.0,1,21,145,0.0,100.0,50,2,5,30,25,0,0,moderate,40.71618,-73.99225,20,11023
85,0,1,9,1,1292.0,1292.0,100,1.0,5,1,1,Bushwick,Brooklyn,Apartment,Entire home/apt,2,1.0,1.0,1.0,1,32,74,150.0,90.0,10,1,4,60,15,0,0,strict_14_with_grace_period,40.69677,-73.91404,1,18953
86,1,1,10,0,2314.0,2314.0,50,1.0,5,1,1,Lower East Side,Manhattan,Apartment,Entire home/apt,2,1.0,1.0,1.0,1,14,200,100.0,50.0,0,1,2,7,3,0,0,moderate,40.721,-73.99147,20,11023
87,0,1,9,0,2446.0,2446.0,100,1.0,5,1,1,Greenwich Village,Manhattan,Apartment,Entire home/apt,2,1.0,1.0,2.0,1,34,175,1000.0,78.0,10,1,1,1125,72,0,0,moderate,40.7328,-73.99899,102,4290
88,1,1,10,0,845.0,845.0,100,10.0,3,1,0,Midtown,Manhattan,Resort,Private room,2,1.0,0.0,1.0,1,19,489,100.0,100.0,0,1,3,7,3,0,0,strict_14_with_grace_period,40.7538,-73.97355,8,332
89,1,1,10,0,845.0,845.0,100,10.0,3,1,0,Midtown,Manhattan,Resort,Private room,6,2.0,2.0,3.0,1,27,749,100.0,100.0,0,1,3,7,4,0,0,flexible,40.75371,-73.97226,8,332
90,1,1,10,1,1140.0,1140.0,81,3.0,5,1,1,Midtown,Manhattan,Apartment,Entire home/apt,2,1.0,0.0,1.0,1,41,270,450.0,0.0,0,1,1,1125,184,0,0,moderate,40.76033,-73.96946,69,1100
91,0,0,8,0,1277.0,1277.0,97,435.0,8,1,0,Upper West Side,Manhattan,Apartment,Entire home/apt,2,2.0,2.0,0.0,1,37,375,4000.0,200.0,0,1,30,1125,1,0,0,super_strict_60,40.77089,-73.98498,9,2761
92,1,1,10,1,1799.0,1799.0,100,2.0,6,1,1,Greenpoint,Brooklyn,Condominium,Private room,2,1.0,1.0,1.0,1,14,200,0.0,100.0,0,1,2,1125,12,0,0,moderate,40.72992,-73.96,4,3727
93,1,1,10,0,845.0,845.0,100,10.0,3,1,0,Midtown,Manhattan,Resort,Private room,2,1.0,0.0,1.0,1,18,489,100.0,100.0,0,1,3,7,2,0,0,strict_14_with_grace_period,40.75328,-73.97193,8,332
